Entity,Code,Day,new_vaccinations_smoothed
Afghanistan,AFG,2021-02-23,1367
Afghanistan,AFG,2021-02-24,1367
Afghanistan,AFG,2021-02-25,1367
Afghanistan,AFG,2021-02-26,1367
Afghanistan,AFG,2021-02-27,1367
Afghanistan,AFG,2021-02-28,1367
Afghanistan,AFG,2021-03-01,1580
Afghanistan,AFG,2021-03-02,1794
Afghanistan,AFG,2021-03-03,2008
Afghanistan,AFG,2021-03-04,2221
Afghanistan,AFG,2021-03-05,2435
Afghanistan,AFG,2021-03-06,2649
Afghanistan,AFG,2021-03-07,2862
Afghanistan,AFG,2021-03-08,2862
Afghanistan,AFG,2021-03-09,2862
Afghanistan,AFG,2021-03-10,2862
Afghanistan,AFG,2021-03-11,2862
Afghanistan,AFG,2021-03-12,2862
Afghanistan,AFG,2021-03-13,2862
Afghanistan,AFG,2021-03-14,2862
Afghanistan,AFG,2021-03-15,2862
Afghanistan,AFG,2021-03-16,2862
Africa,,2021-01-10,500
Africa,,2021-01-11,500
Africa,,2021-01-12,500
Africa,,2021-01-13,500
Africa,,2021-01-14,600
Africa,,2021-01-15,667
Africa,,2021-01-16,1000
Africa,,2021-01-17,1118
Africa,,2021-01-18,1236
Africa,,2021-01-19,1354
Africa,,2021-01-20,1595
Africa,,2021-01-21,1718
Africa,,2021-01-22,1841
Africa,,2021-01-23,1622
Africa,,2021-01-24,1433
Africa,,2021-01-25,1463
Africa,,2021-01-26,1677
Africa,,2021-01-27,1775
Africa,,2021-01-28,1965
Africa,,2021-01-29,1996
Africa,,2021-01-30,14836
Africa,,2021-01-31,19979
Africa,,2021-02-01,30975
Africa,,2021-02-02,38916
Africa,,2021-02-03,45937
Africa,,2021-02-04,51671
Africa,,2021-02-05,59446
Africa,,2021-02-06,54656
Africa,,2021-02-07,55849
Africa,,2021-02-08,50970
Africa,,2021-02-09,52305
Africa,,2021-02-10,64098
Africa,,2021-02-11,74046
Africa,,2021-02-12,102656
Africa,,2021-02-13,134483
Africa,,2021-02-14,151062
Africa,,2021-02-15,167642
Africa,,2021-02-16,186365
Africa,,2021-02-17,193118
Africa,,2021-02-18,199310
Africa,,2021-02-19,192631
Africa,,2021-02-20,167250
Africa,,2021-02-21,145119
Africa,,2021-02-22,139843
Africa,,2021-02-23,126935
Africa,,2021-02-24,143698
Africa,,2021-02-25,161558
Africa,,2021-02-26,166218
Africa,,2021-02-27,178477
Africa,,2021-02-28,178796
Africa,,2021-03-01,192279
Africa,,2021-03-02,199773
Africa,,2021-03-03,181517
Africa,,2021-03-04,162184
Africa,,2021-03-05,161529
Africa,,2021-03-06,163847
Africa,,2021-03-07,168558
Africa,,2021-03-08,187189
Africa,,2021-03-09,184261
Africa,,2021-03-10,208376
Africa,,2021-03-11,214435
Africa,,2021-03-12,224714
Africa,,2021-03-13,253097
Africa,,2021-03-14,249643
Africa,,2021-03-15,256037
Africa,,2021-03-16,269616
Africa,,2021-03-17,249830
Africa,,2021-03-18,249664
Africa,,2021-03-19,249390
Africa,,2021-03-20,204920
Africa,,2021-03-21,205638
Africa,,2021-03-22,166346
Africa,,2021-03-23,151931
Africa,,2021-03-24,228692
Africa,,2021-03-25,242704
Africa,,2021-03-26,232949
Africa,,2021-03-27,243586
Africa,,2021-03-28,242001
Albania,ALB,2021-01-11,64
Albania,ALB,2021-01-12,64
Albania,ALB,2021-01-13,63
Albania,ALB,2021-01-14,66
Albania,ALB,2021-01-15,62
Albania,ALB,2021-01-16,62
Albania,ALB,2021-01-17,58
Albania,ALB,2021-01-18,55
Albania,ALB,2021-01-19,51
Albania,ALB,2021-01-20,47
Albania,ALB,2021-01-21,40
Albania,ALB,2021-01-22,34
Albania,ALB,2021-01-23,26
